"filename", "language", "PHP", "XML", "CSS", "SQL", "JSON", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Http\Requests\User\UserReviewRequest.php", "PHP", 25, 0, 0, 0, 0, 0, 10, 5, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Category.php", "PHP", 6, 0, 0, 0, 0, 0, 3, 3, 12
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Order.php", "PHP", 14, 0, 0, 0, 0, 0, 3, 5, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Product.php", "PHP", 2, 0, 0, 0, 0, 0, 4, 3, 9
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductImage.php", "PHP", 1, 0, 0, 0, 0, 0, 3, 2, 6
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ProductSpecifications.php", "PHP", 0, 0, 0, 0, 0, 0, 3, 0, 3
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Review.php", "PHP", -1, 0, 0, 0, 0, 0, 4, 0, 3
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\ReviewsImages.php", "PHP", 1, 0, 0, 0, 0, 0, 3, 2, 6
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Role.php", "PHP", 1, 0, 0, 0, 0, 0, 3, 3, 7
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Seller.php", "PHP", 4, 0, 0, 0, 0, 0, 4, 3, 11
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\Subcategory.php", "PHP", 3, 0, 0, 0, 0, 0, 3, 3, 9
"c:\Users\admin\source\repos\Silerium_laravel\app\Models\User.php", "PHP", 57, 0, 0, 0, 0, 0, 4, 2, 63
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\FilterItemsProvider.php", "PHP", -16, 0, 0, 0, 0, 0, -11, -5, -32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ManualPaginatorProvider.php", "PHP", -16, 0, 0, 0, 0, 0, -11, -5, -32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\OrderProvider.php", "PHP", -15, 0, 0, 0, 0, 0, -11, -5, -31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ProductCartServiceProvider.php", "PHP", 16, 0, 0, 0, 0, 0, 11, 5, 32
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ProductProvider.php", "PHP", -15, 0, 0, 0, 0, 0, -11, -5, -31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ReviewProvider.php", "PHP", -15, 0, 0, 0, 0, 0, -11, -5, -31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\UserProvider.php", "PHP", -15, 0, 0, 0, 0, 0, -11, -5, -31
"c:\Users\admin\source\repos\Silerium_laravel\app\Providers\ValidatePasswordHashProvider.php", "PHP", -16, 0, 0, 0, 0, 0, -11, -5, -32
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ChangeCartAmount.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\DeleteClosedOrdersService.php", "PHP", -3, 0, 0, 0, 0, 0, 0, 1, -2
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\EmailValidationService.php", "PHP", -39, 0, 0, 0, 0, 0, 0, -6, -45
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\FilterItemsService.php", "PHP", -31, 0, 0, 0, 0, 0, 0, -2, -33
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\MakeReviewService.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 2, 34
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\OrderItemsService.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\PhoneValidationService.php", "PHP", -44, 0, 0, 0, 0, 0, 0, -4, -48
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ProductCartService.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ProductService.php", "PHP", -3, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ReviewService.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\SMSRU.php", "PHP", 174, 0, 0, 0, 0, 0, 84, 45, 303
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\SMSRUcallback.php", "PHP", 10, 0, 0, 0, 0, 0, 9, 5, 24
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ValidateEmailService.php", "PHP", 1, 0, 0, 0, 0, 0, 38, 6, 45
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ValidatePasswordHashService.php", "PHP", 0, 0, 0, 0, 0, 0, -5, 0, -5
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\VerifyPhoneService.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormCheckboxInputs.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormHiddenInputs.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormInputs.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormQueryInputs.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\FilterForm.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 1, 10
