"filename", "language", "PHP", "CSS", "JavaScript", "JSON", "Markdown", "XML", "SQL", "Ini", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\composer.json", "JSON", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\admin\source\repos\Silerium_laravel\composer.lock", "JSON", 0, 0, 0, 9968, 0, 0, 0, 0, 0, 0, 1, 9969
"c:\Users\admin\source\repos\Silerium_laravel\config\app.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 0, 0, 136, 34, 231
"c:\Users\admin\source\repos\Silerium_laravel\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 70, 14, 112
"c:\Users\admin\source\repos\Silerium_laravel\config\broadcasting.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 23, 13, 71
"c:\Users\admin\source\repos\Silerium_laravel\config\cache.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\Users\admin\source\repos\Silerium_laravel\config\cors.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 35
"c:\Users\admin\source\repos\Silerium_laravel\config\database.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 0, 47, 22, 158
"c:\Users\admin\source\repos\Silerium_laravel\config\filesystems.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 95
"c:\Users\admin\source\repos\Silerium_laravel\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\Users\admin\source\repos\Silerium_laravel\config\logging.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 123
"c:\Users\admin\source\repos\Silerium_laravel\config\mail.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 47, 19, 119
"c:\Users\admin\source\repos\Silerium_laravel\config\queue.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\Users\admin\source\repos\Silerium_laravel\config\sanctum.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 41, 12, 68
"c:\Users\admin\source\repos\Silerium_laravel\config\services.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\Users\admin\source\repos\Silerium_laravel\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\Users\admin\source\repos\Silerium_laravel\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\CategoryFactory.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 26
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\OrderFactory.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 34
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\ProductFactory.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 39
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\ProductImageFactory.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 26
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\ProductSpecificationsFactory.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 27
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\ReviewFactory.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 43
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\ReviewsImagesFactory.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 24
