"filename", "language", "PHP", "JavaScript", "CSS", "Markdown", "XML", "JSON", "SQL", "Properties", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 70, 14, 112
"c:\Users\admin\source\repos\Silerium_laravel\config\broadcasting.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 23, 13, 71
"c:\Users\admin\source\repos\Silerium_laravel\config\cache.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 111
"c:\Users\admin\source\repos\Silerium_laravel\config\cors.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 35
"c:\Users\admin\source\repos\Silerium_laravel\config\database.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 0, 47, 21, 151
"c:\Users\admin\source\repos\Silerium_laravel\config\filesystems.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 32, 14, 87
"c:\Users\admin\source\repos\Silerium_laravel\config\hashing.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 53
"c:\Users\admin\source\repos\Silerium_laravel\config\logging.php", "PHP", 70, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 123
"c:\Users\admin\source\repos\Silerium_laravel\config\mail.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 47, 19, 119
"c:\Users\admin\source\repos\Silerium_laravel\config\queue.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 32, 15, 94
"c:\Users\admin\source\repos\Silerium_laravel\config\sanctum.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 41, 12, 68
"c:\Users\admin\source\repos\Silerium_laravel\config\services.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\Users\admin\source\repos\Silerium_laravel\config\session.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 147, 33, 202
"c:\Users\admin\source\repos\Silerium_laravel\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\ProductFactory.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 32
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\ProductSpecificationsFactory.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 27
"c:\Users\admin\source\repos\Silerium_laravel\database\factories\UserFactory.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 41
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_07_23_171125_create_sellers.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 100
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_07_28_104445_change_seller.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 41
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2024_07_28_121910_orders_live_time.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 36
"c:\Users\admin\source\repos\Silerium_laravel\database\schema\mysql-schema.sql", "SQL", 0, 0, 0, 0, 0, 0, 277, 0, 0, 0, 3, 280
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\CategorySeeder.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 43
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\DatabaseSeeder.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 25
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\ProductSeeder.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 31
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\ProductSpecificationsSeeder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 26
"c:\Users\admin\source\repos\Silerium_laravel\database\seeders\SubcategorySeeder.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 27
"c:\Users\admin\source\repos\Silerium_laravel\lang\en\auth.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 21
"c:\Users\admin\source\repos\Silerium_laravel\lang\en\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\Users\admin\source\repos\Silerium_laravel\lang\en\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\Users\admin\source\repos\Silerium_laravel\lang\en\validation.php", "PHP", 146, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 185
"c:\Users\admin\source\repos\Silerium_laravel\lang\ru\http-statuses.php", "PHP", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 85
"c:\Users\admin\source\repos\Silerium_laravel\lang\ru\ru.json", "JSON", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 1, 180
